Time taken to solve:	166.845 minutes
Required Solution trajectory

Node # 	 X 	 Y
0 	 0.000 	 0.000
1 	 1.000 	 0.000
2 	 2.000 	 0.000
3 	 3.000 	 0.000
4 	 4.000 	 0.000
5 	 5.000 	 0.000
6 	 6.000 	 0.000
7 	 7.000 	 0.000
8 	 8.000 	 0.000
9 	 9.000 	 0.000
10 	 10.000 	 0.000
11 	 11.000 	 0.000
12 	 12.000 	 0.000
13 	 13.000 	 0.000
14 	 14.000 	 0.000
15 	 15.000 	 0.000
16 	 16.000 	 0.000
17 	 17.000 	 0.000
18 	 18.000 	 0.000
19 	 19.000 	 0.000
20 	 20.000 	 0.000
21 	 21.000 	 0.000
22 	 22.000 	 0.000
23 	 23.000 	 0.000
24 	 24.000 	 0.000
25 	 25.000 	 0.000
26 	 26.000 	 0.000
27 	 27.000 	 0.000
28 	 28.000 	 0.000
29 	 29.000 	 0.000
30 	 30.000 	 0.000
31 	 31.000 	 0.000
32 	 32.000 	 0.000
33 	 33.000 	 0.000
34 	 34.000 	 0.000
35 	 35.000 	 0.000
36 	 36.000 	 0.000
37 	 37.000 	 0.000
38 	 38.000 	 0.000
39 	 39.000 	 0.000
40 	 40.000 	 0.000
41 	 41.000 	 0.000
42 	 42.000 	 0.000
43 	 43.000 	 0.000
44 	 44.000 	 0.000
45 	 45.000 	 0.000
46 	 46.000 	 0.000
47 	 47.000 	 0.000
48 	 48.000 	 0.000
49 	 49.000 	 0.000
50 	 50.000 	 0.000
51 	 51.000 	 0.000
52 	 52.000 	 0.000
53 	 53.000 	 0.000
54 	 54.000 	 0.000
55 	 55.000 	 0.000
56 	 56.000 	 0.000
57 	 57.000 	 0.000
58 	 58.000 	 0.000
59 	 59.000 	 0.000
60 	 60.000 	 0.000
61 	 61.000 	 0.000
62 	 62.000 	 0.000
63 	 63.000 	 0.000
64 	 64.000 	 0.000
65 	 65.000 	 0.000
66 	 66.000 	 0.000
67 	 67.000 	 0.000
68 	 68.000 	 0.000
69 	 69.000 	 0.000
70 	 70.000 	 0.000
71 	 71.000 	 0.000
72 	 72.000 	 0.000
73 	 73.000 	 0.000
74 	 74.000 	 0.000
75 	 75.000 	 0.000
76 	 76.000 	 0.000
77 	 77.000 	 0.000
78 	 78.000 	 0.000
79 	 79.000 	 0.000
80 	 80.000 	 0.000
81 	 81.000 	 0.000
82 	 82.000 	 0.000
83 	 83.000 	 0.000
84 	 84.000 	 0.000
85 	 85.000 	 0.000
86 	 86.000 	 0.000
87 	 87.000 	 0.000
88 	 88.000 	 0.000
89 	 89.000 	 0.000
491 	 90.000 	 1.000
893 	 91.000 	 2.000
1295 	 92.000 	 3.000
1697 	 93.000 	 4.000
2099 	 94.000 	 5.000
2501 	 95.000 	 6.000
2903 	 96.000 	 7.000
3305 	 97.000 	 8.000
3707 	 98.000 	 9.000
4109 	 99.000 	 10.000
4511 	 100.000 	 11.000
4913 	 101.000 	 12.000
5315 	 102.000 	 13.000
5717 	 103.000 	 14.000
6119 	 104.000 	 15.000
6521 	 105.000 	 16.000
6923 	 106.000 	 17.000
7325 	 107.000 	 18.000
7727 	 108.000 	 19.000
8129 	 109.000 	 20.000
8531 	 110.000 	 21.000
8933 	 111.000 	 22.000
9335 	 112.000 	 23.000
9737 	 113.000 	 24.000
10139 	 114.000 	 25.000
10541 	 115.000 	 26.000
10943 	 116.000 	 27.000
10944 	 117.000 	 27.000
10945 	 118.000 	 27.000
11347 	 119.000 	 28.000
11749 	 120.000 	 29.000
12151 	 121.000 	 30.000
12553 	 122.000 	 31.000
12955 	 123.000 	 32.000
13357 	 124.000 	 33.000
13759 	 125.000 	 34.000
14161 	 126.000 	 35.000
14563 	 127.000 	 36.000
14965 	 128.000 	 37.000
15367 	 129.000 	 38.000
15769 	 130.000 	 39.000
16170 	 130.000 	 40.000
16572 	 131.000 	 41.000
16974 	 132.000 	 42.000
17376 	 133.000 	 43.000
17777 	 133.000 	 44.000
18179 	 134.000 	 45.000
18580 	 134.000 	 46.000
18982 	 135.000 	 47.000
19383 	 135.000 	 48.000
19785 	 136.000 	 49.000
20186 	 136.000 	 50.000
20588 	 137.000 	 51.000
20989 	 137.000 	 52.000
21391 	 138.000 	 53.000
21792 	 138.000 	 54.000
22193 	 138.000 	 55.000
22594 	 138.000 	 56.000
22996 	 139.000 	 57.000
23397 	 139.000 	 58.000
23798 	 139.000 	 59.000
24199 	 139.000 	 60.000
24601 	 140.000 	 61.000
25002 	 140.000 	 62.000
25403 	 140.000 	 63.000
25804 	 140.000 	 64.000
26205 	 140.000 	 65.000
26606 	 140.000 	 66.000
27007 	 140.000 	 67.000
27408 	 140.000 	 68.000
